Name;Nutritions
Абрикосы;45
Авокадо;197
Аджика;59
Айва;41
Айсберг;17
Активиа кефирная 1%;39
Ананас;50
Ананас консервированный;65
Ананас цукаты;78
Апельсин;43
Апельсиновый сок;44
Арахис;561
Арахис в сахаре;535
Базилик свежий;27
Баклажаны;27
Банан;97
Баранина вареная;286
Батон;264
Бедро индейки;143
Бекон;469
Блины обычные;178
Борщ лёгкий;58
Брокколи;33
Брусника;42
Бульон из говядины;57
Бульон из куриной грудки;42
Бульон куриный;33
Вареная говядина;236
Вареная колбаса;253
Вареная куриная грудка;138
Вареная курица;150
Вареная морковь;31
Вареная чечевица;111
Варёная сгущёнка;326
Вермишель;347
Ветчина;246
Вино белое сухое;67
Виноград;69
Вино красное сухое;70
Вишня;54
Геркулес;327
Говядина;192
Говяжья печень;110
Голень куриная;168
Голландский сыр;373
Голубика;46
Горбуша;143
Горох;256
Гороховое пюре;106
Горошек зеленый;59
Горчица;184
Гранат;67
Грейпфрут;41
Грецкие орехи;697
Гречневая каша рассыпчатая;131
Гречневая крупа;329
Грибы белые;28
Грибы белые сушеные;239
Грибы грузди;16
Грибы лисички;20
Грибы маслята;9
Грибы опята;17
Грибы подберёзовики свежие;17
Грибы подосиновики свежие;26
Грибы рыжики;17
Грибы шампиньоны;22
Груша;51
Груша (сухофрукты);246
Дайкон;21
Джем мандариновый;276
Дрожжи;263
Дрожжи сухие;410
Дыня;35
Ежевика;31
Жареное яйцо;183
Желатин;343
Зеленая фасоль;30
Зеленый лук;19
Зелень петрушки;50
"Зелёный горошек ""Бондюэль""";60
"Зелёный горошек ""Фрау Марта""";40
Земляника;38
Зефир бело-розовый;304
Изюм;280
Имбирь свежий;72
Индейка (грудка);94
Индейка (филе);188
Инжир (сухофрукты);239
Йогурт Активия;97
Кабачки жареные;91
Кабачки цукини;16
Кабачковая икра;90
Кабачок;28
Какао;234
Какао порошок;326
Кальмар;97
Кальмар вареный;103
Каперсы;21
Капуста белокочаная;28
Капуста белокочанная;29
Капуста брокколи замороженая;21
Капуста брюссельская;47
Капуста жареная;88
Капуста квашенная;23
Капуста китайская;16
Капуста кольраби;42
Капуста краснокочанная;29
Капуста морская;58
Капуста пекинская;15
Капуста цветная;34
Картофель;84
Картофель молодой;61
Картофельные хлопья;366
Картофель отварной;83
Картофель печеный;113
Картофель фри;323
Картошка;105
Каша рисовая;130
Квас хлебный;24
Кедровые орехи;652
Кетчуп;90
Кефир 1%;45
Кефир 2,5%;52
Кефир 3,2%;58
Кешью;607
Киви;51
Клубника;32
Клюква;43
Клюква сушеная;305
Козий сыр;296
"Колбаса вареная ""докторская""";254
Конфеты Батончики Рот Фронт с орехами;379
Корень имбиря;90
Корень сельдерея;31
Коричневый сахар;393
Корнишоны маринованные;36
Котлеты полтавские;415
Кофе молотый Арабика;193
Кофе растворимый (сухой);116
Кофе эспрессо крепкий;19
"Кофе ""якобз монарх"" (растворимый)";97
Крабовые палочки;85
Краковская колбаса;420
Красная фасоль консервированная;99
Крахмал картофельный;335
Крахмал кукурузный;348
Краюшка;226
Креветки (отварные);90
Крупа гречневая;326
Крупа кукурузная;337
Крупа манная;330
Крупа овсяная;342
Крупа перловая;328
Крупа пшеничная;322
Крупа рис длиннозерный пропаренный;333
Крупа рисовая;330
Крупа ячневая;318
Крыжовник;41
Кукуруза консервированная;87
Кукурузные хлопья;353
Кунжут;562
Курага;232
Куриная печень;140
Куриные грудки;144
Куриные окорочка;170
Курица;186
Кус-Кус (крупа);373
Лаваш грузинский;269
Лайм;20
Лапша гречневая;348
Лапша рисовая;350
Лапша яичная;330
Лимон;27
Лимонный сок;20
Лосось;172
Лук;40
Лук зелёный перо;16
Лук красный салатный;42
Льняное масло;849
Майонез;550
Майонез 15%;156
Майонез провансаль 67%;619
Мак;519
Макаронные изделия;344
Макароны отварные;119
Малина;41
Манго;62
Манго цукаты;278
Мандарин;40
Манная крупа;334
Маргарин молочный;745
Маргарин солнечный;653
Мармелад;302
Маслины;167
Маслины без косточки;133
Масло кукурузное;916
Масло льняное;895
Масло оливковое;851
